2420,1410
2421,0535
2422,0535
2423,4020
2425,8353
2426,0525
2427,0535
2428,0515
3435,8353
3436,8382
3437,3336
4202,4142
4212,0535
4222,1410
4232,0313
4252,0535
4262,4142
4272,4142
4282,4142
4353,0535
4363,0535
4373,8382
4515,8382
4525,8555
4535,3331
4555,5856
4565,0535
4575,3332
4606,0535
4616,8353
4626,4746
4636,4746
4656,3323
4666,0535
4676,0535
4686,0507
5451,0535
5452,0535
5453,0535
5455,8353
5456,8353
5457,5054
6460,8353
6461,8353
6462,8353
6463,0535
6465,8353
6466,8353
6467,8353
6468,8353
